listing_id,neighborhood
7211212,Greenpoint
7150865,Upper West Side
6887163,West Village
6888711,Midtown East
6934781,Central Harlem
6894514,Chelsea
6930771,Columbia University
6867392,Fashion Institute of Technology (FIT) 
6898799,Central Harlem
6814332,East Village
6869199,Upper East Side
7102986,Washington Heights
6895442,Murray Hill
6846213,Juilliard School 
7089402,Midtown East
6889043,Murray Hill
6913348,Stuyvesant Town - Peter Cooper Village
6894111,Inwood
6900220,Columbia University
6848536,Stuyvesant Town - Peter Cooper Village
6858062,NoMad
6836760,Kips Bay
6866830,Murray Hill
6885927,Financial District
7120132,Flatiron District
6933499,Midtown East
6921632,Upper East Side
6913084,John Jay College of Criminal Justice 
6907079,Concourse Village
6925264,Upper East Side
6904268,Upper West Side
6821944,Upper West Side
6912559,Tribeca
6898884,New York University (NYU) 
7176319,Washington Heights
6890107,East Harlem
6821706,Central Harlem
6885742,Theater District
6832226,Koreatown
7230670,Garment District
6890563,SoHo
6860485,Upper East Side
6896742,Upper East Side
6942606,Upper East Side
6846026,Columbia University
6923614,Columbia University
6941997,The New School 
6846938,Chelsea
7190105,Upper East Side
6856713,Gramercy Park
6908135,Rego Park
6944369,Rego Park
6861960,Central Park
6847390,Upper West Side
6816227,Midtown East
6859368,Kew Gardens
6907631,Upper West Side
6923973,Upper East Side
6927880,Hell's Kitchen
7127110,Bedford-Stuyvesant
6916033,Glen Oaks
6900939,Upper West Side
6866313,Midtown East
6854532,East Village
6946257,Upper East Side
6878074,Long Island City
6879306,Koreatown
6891766,Theater District
6844733,Gramercy Park
6932777,Kips Bay
6875163,Long Island City
6892631,Columbia University
6851714,Tribeca
6890772,Upper East Side
6899196,Pace University 
6889430,Upper West Side
6870967,Juilliard School 
6868139,Financial District
6877460,Forest Park
6940305,Upper East Side
6869315,Crown Heights
6818183,Gramercy Park
7208829,Weill Cornell Medical College
7147322,Washington Heights
6897676,Upper West Side
6848778,Upper East Side
6846405,Brownsville
6828553,Weill Cornell Medical College
6819930,Park Slope
7091995,Upper East Side
6882553,Weill Cornell Medical College
6875784,Juilliard School 
6929175,Juilliard School 
6864916,Chelsea
6872659,Southern Brooklyn
6883194,Rego Park
6889329,Greenwich Village
6911693,Midtown East
6933506,Long Island City
6907978,John Jay College of Criminal Justice 
6866364,Bay Ridge
6944517,Williamsburg
6875769,Weill Cornell Medical College
6830093,Pace University 
6914141,Sheepshead Bay
6885991,Kips Bay
6817707,Upper East Side
6890059,Greenpoint
7121934,Upper East Side
6822355,Pace University 
6924176,Upper East Side
6886300,John Jay College of Criminal Justice 
6856146,Coney Island
6869981,Juilliard School 
6934541,Columbia University
6943997,Greenpoint
6851019,Inwood
6856770,Theater District
6925656,Upper East Side
6838450,Financial District
6931557,Lower East Side
6873855,Upper West Side
6882012,East Village
6899273,Baruch College (CUNY)
6927877,Upper East Side
6919514,Hunter College 
6900844,Murray Hill
6894530,Bayside
6890146,Upper East Side
6933977,Financial District
6837789,East Village
7095651,Upper West Side
6930615,East Harlem
6907321,Murray Hill
6864865,Columbia University
7229402,Hunter College 
6825388,East Village
6903190,Upper East Side
6812585,Central Park
6886100,The New School 
6922235,Pratt Institute 
6820367,Greenwich Village
6903401,Kips Bay
6883529,Midtown East
6910087,The New School 
6886430,Theater District
6818493,West Village
6920767,Long Island City
6831747,Upper East Side
6877550,Weill Cornell Medical College
7108485,Upper East Side
6894240,Upper West Side
6855492,Clinton Hill
6812475,Hell's Kitchen
6947696,Upper West Side
6830764,Inwood
7107622,John Jay College of Criminal Justice 
6927068,Pace University 
6862919,Ocean Hill
6875908,Wakefield
6900832,Weill Cornell Medical College
6878419,East Village
6886196,Bowery
6862696,Cooper Union 
6828701,Theater District
7096956,Garment District
6905574,Long Island City
6965440,Little Italy
6851802,Weill Cornell Medical College
6914964,Crown Heights
6886758,Baruch College (CUNY)
6935754,Midtown East
6941377,Hell's Kitchen
6940927,Murray Hill
6853469,Kew Gardens
6926629,Tribeca
6876419,Central Harlem
6932079,East Village
7195591,Elmhurst
7172841,Hunter College 
6862351,DUMBO
6821667,Juilliard School 
6849785,East Village
6942038,Murray Hill
6909039,Upper East Side
6903614,Astoria
6874758,Murray Hill
6840041,Greenwich Village
6918057,Financial District
6864381,Upper East Side
6928762,Hunter College 
6831840,Midtown East
6945500,Garment District
6853927,NYU Tandon School of Engineering 
6839585,Kips Bay
6887119,Hell's Kitchen
6847031,Theater District
6841584,Central Harlem
6864072,Theater District
6926755,Murray Hill
6880947,Upper East Side
6929248,Kips Bay
7187990,Brownsville
6859496,Theater District
6897104,Financial District
6864115,Flatiron District
6843557,Financial District
6868334,Upper East Side
6918821,Murray Hill
6841075,Cooper Union 
6846567,Chelsea
6932296,Hell's Kitchen
6930696,Garment District
6917095,Columbia University
6938861,East Village
6843876,Cooper Union 
6924281,Upper West Side
6930371,Midtown East
6849385,East Village
7145794,Flushing
6864804,Greenwich Village
