Third Avenue,the Bronx
,Manhattan
Fifth Avenue,Manhattan
Seventh Avenue,Brooklyn
,Manhattan
Eighth Avenue,Brooklyn
,Manhattan
Ninth Avenue,Brooklyn
14th Street,Manhattan
18th Avenue,Brooklyn
18th Street,Manhattan
20th Avenue,Brooklyn
21st Street,Queens
23rd Street,Manhattan
,Queens
28th Street,Manhattan
33rd Street,Manhattan
,Queens
34th Street,Manhattan
36th Street,Brooklyn
,Queens
42nd Street,Manhattan
46th Street,Queens
50th Street,Brooklyn
,Manhattan
53rd Street,Brooklyn
,Manhattan
57th Street,Manhattan
59th Street,Brooklyn
,Manhattan
72nd Street,Manhattan
77th Street,Brooklyn
,Manhattan
79th Street,Brooklyn
,Manhattan
86th Street,Brooklyn
,Manhattan
96th Street,Manhattan
103rd Street,Manhattan
,Queens
104th Street,Queens
110th Street,Manhattan
111th Street,Queens
116th Street,Manhattan
125th Street,Manhattan
135th Street,Manhattan
138th Street,the Bronx
145th Street,Manhattan
149th Street,the Bronx
155th Street,Manhattan
161st Street,the Bronx
167th Street,the Bronx
168th Street,Manhattan
,Queens
170th Street,the Bronx
174th Street,the Bronx
175th Street,the Bronx
,Manhattan
181st Street,Manhattan
183rd Street,the Bronx
200th Street,the Bronx
,Manhattan
207th Street,Manhattan
225th Street,the Bronx
,Manhattan
238th Street,the Bronx
Atlantic Avenue,Brooklyn
Avenue U,Brooklyn
Bay Parkway,Brooklyn
Bedford Avenue,Brooklyn
Bedford Park Boulevard,the Bronx
Bergen Street,Brooklyn
Beverley Road,Brooklyn
Borough Hall,Brooklyn
Broadway,Brooklyn
,Manhattan
,Queens
Broadway Junction,Brooklyn
Canal Street,Manhattan
Chambers Street,Manhattan
Cathedral Parkway,Manhattan
Church Avenue,Brooklyn
City Hall,Manhattan
Clinton–Washington Avenues,Brooklyn
Cortlandt Street,Manhattan
Court Street,Brooklyn
DeKalb Avenue,Brooklyn
Dyckman Street,Manhattan
East 180th Street,the Bronx
Elmhurst Avenue,Queens
Flushing Avenue,Brooklyn
Fordham Road,the Bronx
Fort Hamilton Parkway,Brooklyn
Franklin Avenue,Brooklyn
Fulton Street,Brooklyn
,Manhattan
Grand Central,Manhattan
Grand Street,Brooklyn
,Manhattan
Gun Hill Road,the Bronx
Halsey Street,Brooklyn
Hoyt Street,Brooklyn
Jackson Heights,Queens
Jay Street,Brooklyn
JFK Airport,Queens
Kings Highway,Brooklyn
Kingsbridge Road,the Bronx
Kingston Avenue,Brooklyn
Lafayette,Brooklyn
,Manhattan
Lexington Avenue,Manhattan
Lorimer Street,Brooklyn
Metropolitan Avenue,Brooklyn
,Queens
Mott Avenue,the Bronx
,Queens
Myrtle Avenue,Brooklyn
New Lots Avenue,Brooklyn
Norwood,the Bronx
,Brooklyn
Nostrand Avenue,Brooklyn
Park Place,Brooklyn
,Manhattan
Parsons Boulevard,Queens
Pelham Parkway,the Bronx
Penn Station,Manhattan
Prospect Avenue,the Bronx
,Brooklyn
Prospect Park,Brooklyn
Rector Street,Manhattan
Rockaway Avenue,Brooklyn
South Ferry,Manhattan
Spring Street,Manhattan
Sutphin Boulevard,Queens
Sutter Avenue,Brooklyn
Times Square,Manhattan
Tremont Avenue,the Bronx
Union Square,Manhattan
Utica Avenue,Brooklyn
Van Siclen Avenue,Brooklyn
Wall Street,Manhattan
Woodhaven Boulevard,Queens
