listing_id,town
7211212,boston
7150865,manhattan
6887163,manhattan
6888711,manhattan
6934781,manhattan
6894514,manhattan
6930771,college
6867392,college
6898799,manhattan
6814332,manhattan
6869199,manhattan
7102986,manhattan
6895442,manhattan
6846213,college
7089402,manhattan
6889043,manhattan
6913348,manhattan
6894111,manhattan
6900220,college
6848536,manhattan
6858062,manhattan
6836760,manhattan
6866830,manhattan
6885927,manhattan
7120132,manhattan
6933499,manhattan
6921632,manhattan
6913084,college
6907079,bronx
6925264,manhattan
6904268,manhattan
6821944,manhattan
6912559,manhattan
6898884,college
7176319,manhattan
6890107,manhattan
6821706,manhattan
6885742,manhattan
6832226,manhattan
7230670,manhattan
6890563,manhattan
6860485,manhattan
6896742,manhattan
6942606,manhattan
6846026,college
6923614,college
6941997,college
6846938,manhattan
7190105,manhattan
6856713,manhattan
6908135,queens
6944369,queens
6861960,manhattan
6847390,manhattan
6816227,manhattan
6859368,queens
6907631,manhattan
6923973,manhattan
6927880,manhattan
7127110,boston
6916033,queens
6900939,manhattan
6866313,manhattan
6854532,manhattan
6946257,manhattan
6878074,queens
6879306,manhattan
6891766,manhattan
6844733,manhattan
6932777,manhattan
6875163,queens
6892631,college
6851714,manhattan
6890772,manhattan
6899196,college
6889430,manhattan
6870967,college
6868139,manhattan
6877460,queens
6940305,manhattan
6869315,boston
6818183,manhattan
7208829,college
7147322,manhattan
6897676,manhattan
6848778,manhattan
6846405,boston
6828553,college
6819930,boston
7091995,manhattan
6882553,college
6875784,college
6929175,college
6864916,manhattan
6872659,boston
6883194,queens
6889329,manhattan
6911693,manhattan
6933506,queens
6907978,college
6866364,boston
6944517,boston
6875769,college
6830093,college
6914141,boston
6885991,manhattan
6817707,manhattan
6890059,boston
7121934,manhattan
6822355,college
6924176,manhattan
6886300,college
6856146,boston
6869981,college
6934541,college
6943997,boston
6851019,manhattan
6856770,manhattan
6925656,manhattan
6838450,manhattan
6931557,manhattan
6873855,manhattan
6882012,manhattan
6899273,college
6927877,manhattan
6919514,college
6900844,manhattan
6894530,queens
6890146,manhattan
6933977,manhattan
6837789,manhattan
7095651,manhattan
6930615,manhattan
6907321,manhattan
6864865,college
7229402,college
6825388,manhattan
6903190,manhattan
6812585,manhattan
6886100,college
6922235,college
6820367,manhattan
6903401,manhattan
6883529,manhattan
6910087,college
6886430,manhattan
6818493,manhattan
6920767,queens
6831747,manhattan
6877550,college
7108485,manhattan
6894240,manhattan
6855492,boston
6812475,manhattan
6947696,manhattan
6830764,manhattan
7107622,college
6927068,college
6862919,boston
6875908,bronx
6900832,college
6878419,manhattan
6886196,manhattan
6862696,college
6828701,manhattan
7096956,manhattan
6905574,queens
6965440,manhattan
6851802,college
6914964,boston
6886758,college
6935754,manhattan
6941377,manhattan
6940927,manhattan
6853469,queens
6926629,manhattan
6876419,manhattan
6932079,manhattan
7195591,queens
7172841,college
6862351,boston
6821667,college
6849785,manhattan
6942038,manhattan
6909039,manhattan
6903614,queens
6874758,manhattan
6840041,manhattan
6918057,manhattan
6864381,manhattan
6928762,college
6831840,manhattan
6945500,manhattan
6853927,college
6839585,manhattan
6887119,manhattan
6847031,manhattan
6841584,manhattan
6864072,manhattan
6926755,manhattan
6880947,manhattan
6929248,manhattan
7187990,boston
6859496,manhattan
6897104,manhattan
6864115,manhattan
6843557,manhattan
6868334,manhattan
6918821,manhattan
6841075,college
6846567,manhattan
6932296,manhattan
6930696,manhattan
6917095,college
6938861,manhattan
6843876,college
6924281,manhattan
6930371,manhattan
6849385,manhattan
7145794,queens
6864804,manhattan
6899452,college
6907090,manhattan
6822287,manhattan
6918128,manhattan
6858138,college
6908210,manhattan
6944085,college
6865014,college
6931540,manhattan
6864155,manhattan
6876775,college
6861664,manhattan
6824701,manhattan
6893811,manhattan
7193261,boston
6937909,college
6901602,manhattan
6930606,manhattan
6849599,boston
7153130,boston
6895162,manhattan
6858024,manhattan
6910133,manhattan
6822146,manhattan
6833238,manhattan
6827455,boston
7171381,college
6858791,manhattan
6823927,manhattan
6855206,manhattan
